"","Processer_Name","Rating","Cores"
"1","Dimensity 9300","98","8 (1+3+4)"
"2","Snapdragon 8 Gen 3","98","8 (1+3+2+2)"
"3","A17 Pro","97","6 (2+4)"
"4","A16 Bionic","95","6 (2+4)"
"5","Dimensity 9200 Plus","93","8 (1+3+4)"
"6","Snapdragon 8 Gen 2","92","8 (1+2+2+3)"
"7","Dimensity 9200","91","8 (1+3+4)"
"8","A15 Bionic","87","6 (2+4)"
"9","Snapdragon 8 Plus Gen 1","86","8 (1+3+4)"
"10","Tensor G3","82","9 (1+4+4)"
"11","Dimensity 9000 Plus","82","8 (1+3+4)"
"12","Snapdragon 8 Gen 1","80","8 (1+3+4)"
"13","A14 Bionic","80","6 (2+4)"
"14","Snapdragon 7 Plus Gen 2","77","8 (1+3+4)"
"15","Dimensity 9000","75","8 (1+3+4)"
"16","Exynos 2200","73","8 (1+3+4)"
"17","A13 Bionic","73","6 (2+4)"
"18","Google Tensor","72","8 (2+2+4)"
"19","Snapdragon 888 Plus","68","8 (1+3+4)"
"20","Snapdragon 888","67","8 (1+3+4)"
"21","Kirin 9000","67","8 (1+3+4)"
"22","Dimensity 8200","65","8 (1+3+4)"
"23","Exynos 2100","63","8 (1+3+4)"
"24","Tensor G2","62","8 (2+2+4)"
"25","Dimensity 8100","61","8 (4+4)"
"26","Snapdragon 870","60","8 (1+3+4)"
"27","Snapdragon 865 Plus","60","8 (1+3+4)"
"28","Dimensity 1300","59","8 (1+3+4)"
"29","Dimensity 1100","59","8 (4+4)"
"30","Dimensity 7200 Ultra","58","8 (2+6)"
"31","Dimensity 8020","58","8 (4+4)"
"32","Kirin 9000S","57","12 (2+4+6)"
"33","Dimensity 8050","57","8 (1+3+4)"
"34","Dimensity 7200","57","8 (2+6)"
"35","Dimensity 1200","57","8 (1+3+4)"
"36","Snapdragon 865","56","8 (1+3+4)"
"37","A12 Bionic","56","6 (2+4)"
"38","Kirin 990 (4G)","55","8 (2+2+4)"
"39","Exynos 990","54","8 (2+2+4)"
"40","Kirin 990 (5G)","53","8 (2+2+4)"
"41","Snapdragon 7 Gen 1","52","8 (1+3+4)"
"42","Snapdragon 782G","51","8 (1+3+4)"
"43","Dimensity 1000 Plus","51","8 (4+4)"
"44","Snapdragon 860","50","8 (1+3+4)"
"45","Exynos 9820","50","8 (2+2+4)"
"46","Exynos 1380","49","8 (4+4)"
"47","Snapdragon 778G Plus","49","8 (1+3+4)"
"48","Exynos 9825","49","8 (2+2+4)"
"49","Snapdragon 855 Plus","49","8 (1+3+4)"
"50","Snapdragon 855","49","8 (1+3+4)"
"51","Snapdragon 7s Gen 2","48","8 (4+4)"
"52","Snapdragon 6 Gen 1","48","8 (4+4)"
"53","Snapdragon 778G","48","8 (1+3+4)"
"54","Dimensity 1050","47","8 (2+6)"
"55","Snapdragon 780G","47","8 (1+3+4)"
"56","Dimensity 1080","46","8 (2+6)"
"57","Dimensity 920","45","8 (2+6)"
"58","Kirin 980","45","8 (2+2+4)"
"59","Dimensity 7030","44","8 (2+6)"
"60","Dimensity 7050","44","8 (2+6)"
"61","Dimensity 930","43","8 (2+6)"
"62","Dimensity 900","42","8 (2+6)"
"63","Dimensity 820","42","8 (4+4)"
"64","Dimensity 7020","41","8 (2+6)"
"65","Unisoc T820","40","8 (1+3+4)"
"66","Exynos 1280","40","8 (2+6)"
"67","Snapdragon 695","40","8 (2+6)"
"68","A11 Bionic","40","6 (2+4)"
"69","Dimensity 6080","39","8 (2+6)"
"70","Snapdragon 4 Gen 2","39","8 (2+6)"
"71","Exynos 1330","39","8 (2+6)"
"72","Snapdragon 750G","39","8 (2+6)"
"73","Exynos 980","39","8 (2+6)"
"74","Snapdragon 845","39","8 (4+4)"
"75","Dimensity 810","38","8 (2+6)"
"76","Kirin 810","38","8 (2+6)"
"77","Exynos 9810","38","8 (4+4)"
"78","Dimensity 6100 Plus","37","8 (2+6)"
"79","Dimensity 6020","37","8 (2+6)"
"80","Snapdragon 4 Gen 1","37","8 (2+6)"
"81","Snapdragon 732G","37","8 (2+6)"
"82","Dimensity 800U","37","8 (2+6)"
"83","Snapdragon 765G","37","8 (1+1+6)"
"84","Helio G99","36","8 (2+6)"
"85","Snapdragon 480 Plus","36","8 (2+6)"
"86","Dimensity 720","36","8 (2+6)"
"87","Dimensity 700","35","8 (2+6)"
"88","Helio G95","35","8 (2+6)"
"89","Snapdragon 690","35","8 (2+6)"
"90","Snapdragon 720G","35","8 (2+6)"
"91","Snapdragon 730G","35","8 (2+6)"
"92","Snapdragon 480","34","8 (2+6)"
"93","Helio G90T","34","8 (2+6)"
"94","A10 Fusion","34","4 (2+2)"
"95","Snapdragon 730","34","8 (2+6)"
"96","Helio G96","33","8 (2+6)"
"97","Snapdragon 685","32","8 (4+4)"
"98","Kirin 970","32","8 (4+4)"
"99","Snapdragon 835","32","8 (4+4)"
"100","Exynos 8895","32","8 (4+4)"
"101","Snapdragon 680","31","8 (4+4)"
"102","Snapdragon 678","31","8 (2+6)"
"103","Helio P95","31","8 (2+6)"
"104","Snapdragon 712","31","8 (2+6)"
"105","Snapdragon 675","31","8 (2+6)"
"106","Tiger T618","29","8 (2+6)"
"107","Snapdragon 710","29","8 (2+6)"
"108","Helio P90","29","8 (2+6)"
"109","Tiger T616","28","8 (2+6)"
"110","Helio G88","28","8 (2+6)"
"111","Tiger T700","28","8 (2+6)"
"112","Helio G85","28","8 (2+6)"
"113","Helio G80","28","8 (2+6)"
"114","Apple A9","28","2 (2)"
"115","Kirin 960","28","8 (4+4)"
"116","Snapdragon 662","27","8 (4+4)"
"117","Helio G70","27","8 (2+6)"
"118","Exynos 9611","27","8 (4+4)"
"119","Exynos 9609","27","8 (4+4)"
"120","Snapdragon 821","27","4 (2+2)"
"121","Snapdragon 670","27","8 (2+6)"
"122","Tiger T612","26","8 (2+6)"
"123","Tiger T610","26","8 (2+6)"
"124","Exynos 850","26","8 (8)"
"125","Kirin 710F","26","8 (4+4)"
"126","Helio P65","26","8 (2+6)"
"127","Snapdragon 665","26","8 (4+4)"
"128","Exynos 9610","26","8 (4+4)"
"129","Unisoc T606","25","8 (2+6)"
"130","Kirin 710A","25","8 (4+4)"
"131","Helio P70","25","8 (4+4)"
"132","Kirin 710","25","8 (4+4)"
"133","Helio G37","24","8 (4+4)"
"134","Snapdragon 460","24","8 (4+4)"
"135","Helio P60","24","8 (4+4)"
"136","Snapdragon 820","24","4 (2+2)"
"137","Snapdragon 660","24","8 (4+4)"
"138","Helio G36","23","8 (4+4)"
"139","Helio G35","23","8 (4+4)"
"140","Snapdragon 636","23","8 (4+4)"
"141","Helio P35","23","8 (4+4)"
"142","Snapdragon 632","23","8 (4+4)"
"143","Exynos 8890","23","8 (4+4)"
"144","Helio G25","22","8 (4+4)"
"145","Exynos 7884B","22","8 (2+6)"
"146","Snapdragon 439","22","8 (4+4)"
"147","Helio P22","22","8 (4+4)"
"148","Exynos 7904","22","8 (2+6)"
"149","Helio A25","21","8 (4+4)"
"150","Exynos 7885","21","8 (2+6)"
"151","Snapdragon 630","21","8 (4+4)"
"152","Helio A22","21","4 (4)"
"153","Exynos 7420","20","8 (4+4)"
"154","Snapdragon 450","20","8 (8)"
"155","Exynos 7880","19","8 (8)"
"156","Snapdragon 625","19","8 (8)"
